time,temp,setpoint,control
905,29.9989,25000,1
906,29.9989,25000,1
907,29.9989,25000,1
908,29.9989,25000,1
909,29.9989,25000,1
910,29.9989,25000,1
911,29.999,25000,1
912,29.999,25000,1
913,29.999,25000,1
914,29.999,25000,1
915,29.999,25000,1
916,29.999,25000,1
917,29.999,25000,1
918,29.999,25000,1
919,29.999,25000,1
920,29.999,25000,1
921,29.9991,25000,1
922,29.9991,25000,1
923,29.9991,25000,1
924,29.9991,25000,1
925,29.9991,25000,1
926,29.9991,25000,1
927,29.9991,25000,1
928,29.9991,25000,1
929,29.9991,25000,1
930,29.9991,25000,1
931,29.9991,25000,1
932,29.9992,25000,1
933,29.9992,25000,1
934,29.9992,25000,1
935,29.9992,25000,1
936,29.9992,25000,1
937,29.9992,25000,1
938,29.9992,25000,1
939,29.9992,25000,1
940,29.9992,25000,1
941,29.9992,25000,1
942,29.9992,25000,1
943,29.9992,25000,1
944,29.9992,25000,1
945,29.9993,25000,1
946,29.9993,25000,1
947,29.9993,25000,1
948,29.9993,25000,1
949,29.9993,25000,1
950,29.9993,25000,1
951,29.9993,25000,1
952,29.9993,25000,1
953,29.9993,25000,1
954,29.9993,25000,1
955,29.9993,25000,1
956,29.9993,25000,1
957,29.9993,25000,1
958,29.9993,25000,1
959,29.9994,25000,1
960,29.9994,25000,1
961,29.9994,25000,1
962,29.9994,25000,1
963,29.9994,25000,1
964,29.9994,25000,1
965,29.9994,25000,1
966,29.9994,25000,1
967,29.9994,25000,1
968,29.9994,25000,1
969,29.9994,25000,1
970,29.9994,25000,1
971,29.9994,25000,1
972,29.9994,25000,1
973,29.9994,25000,1
974,29.9994,25000,1
975,29.9995,25000,1
976,29.9995,25000,1
977,29.9995,25000,1
978,29.9995,25000,1
979,29.9995,25000,1
980,29.9995,25000,1
981,29.9995,25000,1
982,29.9995,25000,1
983,29.9995,25000,1
984,29.9995,25000,1
985,29.9995,25000,1
986,29.9995,25000,1
987,29.9995,25000,1
988,29.9995,25000,1
989,29.9995,25000,1
990,29.9995,25000,1
991,29.9995,25000,1
992,29.9995,25000,1
993,29.9995,25000,1
994,29.9995,25000,1
995,29.9996,25000,1
996,29.9996,25000,1
997,29.9996,25000,1
998,29.9996,25000,1
999,29.9996,25000,1
